"","id","host_response_time","host_response_rate","host_acceptance_rate","host_total_listings_count","neighbourhood_cleansed","neighbourhood_group_cleansed","latitude","longitude","room_type","accommodates","bathrooms","bedrooms","beds","price","minimum_nights","maximum_nights","availability_60","number_of_reviews","estimated_occupancy_l365d","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","air_conditioning","bed_linens","coffee_maker","cooking_basics","dedicated_workspace","dishwasher","dryer","elevator","free_street_parking","freezer","heating","kitchen","microwave","oven","paid_parking_off_premises","pets_allowed","refrigerator","tv","washer","wifi"
"1","1028760605063079630","a few days or more",6,0,1,"Atocha","Arganzuela",40.4047276684433,-3.68688929445393,"Private room",1,1,1,1,30,1,365,44,9,0,4.67,4.89,4.89,4.38,4.78,4.89,4.78,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"2","1109559859126701491","within an hour",100,99,7,"Legazpi","Arganzuela",40.3882641,-3.6936944,"Entire home/apt",4,1,1,0,70,1,365,11,56,222,4.52,4.55,4.57,4.7,4.73,4.64,4.36,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1
"3","48249273","within an hour",90,100,3,"Acacias","Arganzuela",40.40041,-3.70485,"Private room",1,1,1,1,55,2,30,44,87,42,4.72,4.76,4.6,4.8,4.71,4.67,4.63,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0
"4","1181733794928641523","within an hour",100,88,1,"Acacias","Arganzuela",40.4023983435796,-3.71131226420402,"Private room",2,0,0,1,70,2,10,40,25,126,4.92,4.92,4.96,4.88,4.88,5,4.96,1,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,1,1
"5","53270156","within an hour",100,100,1,"Palos de Moguer","Arganzuela",40.40537,-3.69522,"Entire home/apt",5,1,2,3,119,1,365,16,44,36,4.5,4.55,4.75,4.66,4.61,4.84,4.45,0,1,0,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1
"6","29348826","within an hour",100,88,11,"Acacias","Arganzuela",40.40167,-3.71354,"Entire home/apt",6,1,3,3,249,3,90,27,152,150,4.87,4.88,4.91,4.9,4.87,4.89,4.78,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1
"7","803413826031843987","within an hour",100,100,2,"Palos de Moguer","Arganzuela",40.40461,-3.69208,"Entire home/apt",2,1,1,1,88,1,365,39,46,156,4.59,4.59,4.7,4.74,4.7,4.93,4.43,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,1,0,0,1
"8","576070863038181478","a few days or more",20,19,1,"Acacias","Arganzuela",40.403919,-3.70288,"Private room",2,1,1,1,66,1,365,24,7,42,5,5,4.86,5,5,5,4.86,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
"9","650582602296060007","within an hour",100,100,95,"Palos de Moguer","Arganzuela",40.40214,-3.69341,"Entire home/apt",3,1,2,1,128,3,363,26,116,255,4.85,4.84,4.87,4.82,4.96,4.76,4.77,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0
"10","4083002","within a few hours",97,22,8,"Chopera","Arganzuela",40.39894,-3.69999,"Private room",3,1,1,1,44,1,1125,49,69,12,4.43,4.49,4.1,4.8,4.83,4.7,4.25,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1
"11","941406969654228746","within an hour",100,100,3,"Delicias","Arganzuela",40.39353,-3.69223,"Entire home/apt",8,2,2,3,231,1,365,19,4,0,5,5,5,5,5,5,5,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1
"12","1336134567712870013","within an hour",100,94,456,"Imperial","Arganzuela",40.4136717091716,-3.71877479821034,"Entire home/apt",6,1,1,3,115,2,365,29,4,24,5,5,5,4.25,4.25,5,5,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1
"13","1246938767625965404","within an hour",99,99,393,"Atocha","Arganzuela",40.3994227399968,-3.67835792146513,"Entire home/apt",4,1,1,2,123,1,1125,7,5,30,4.8,4.6,4.6,4.4,4.6,4.8,4.6,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1
"14","1246940558379632704","within an hour",99,99,393,"Atocha","Arganzuela",40.3977388472403,-3.67740846218722,"Entire home/apt",4,1,1,2,147,1,1125,4,20,120,4.95,5,4.85,4.5,4.65,4.8,4.8,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1
"15","1396268529294449183","within an hour",100,97,9,"Chopera","Arganzuela",40.39779,-3.69885,"Entire home/apt",2,1,1,1,80,3,360,21,4,24,4.25,5,5,5,5,4.5,4.25,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1
"16","25819709","within a day",100,36,6,"Palos de Moguer","Arganzuela",40.40331,-3.69321,"Private room",1,1.5,1,1,44,30,60,59,5,0,5,5,5,5,5,5,5,0,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1
"17","914940396992599553","within a day",64,42,317,"Chopera","Arganzuela",40.3941533446318,-3.69526616322804,"Entire home/apt",6,2,3,3,90,30,365,0,1,60,4,3,3,5,5,5,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
"18","1299502875977960410","within an hour",100,100,2,"Imperial","Arganzuela",40.4061025,-3.7203888,"Private room",2,1,1,1,49,3,365,31,33,198,4.61,4.7,4.61,4.85,4.82,4.73,4.76,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1
"19","923641705001377802","within an hour",100,97,1,"Imperial","Arganzuela",40.41334,-3.71874,"Entire home/apt",4,2,2,2,152,1,365,26,36,108,4.5,4.47,4.72,4.72,4.78,4.39,4.42,0,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1
"20","10751436","within an hour",100,96,2,"Palos de Moguer","Arganzuela",40.4035,-3.69574,"Entire home/apt",2,2,2,1,154,4,13,7,27,48,5,4.96,4.89,4.96,4.81,4.93,4.81,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1
"21","1172962289653715540","within an hour",100,100,4,"Acacias","Arganzuela",40.4044472,-3.711976,"Entire home/apt",3,1,1,2,96,1,365,41,124,255,4.94,4.93,4.98,4.97,4.98,4.88,4.81,1,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1
"22","1046451017462917163","within an hour",100,94,456,"Chopera","Arganzuela",40.3967090387281,-3.69886606843061,"Entire home/apt",6,2,1,3,137,1,365,5,5,18,4.8,4.6,4.8,5,4.8,4.8,4.4,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1
"23","1441343846207877235","within an hour",100,100,4,"Palos de Moguer","Arganzuela",40.4041881213383,-3.69270680185241,"Entire home/apt",3,1,1,2,116,2,60,7,15,90,4.87,4.73,4.93,4.73,4.87,4.8,4.8,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
"24","54031326","a few days or more",28,0,2,"Palos de Moguer","Arganzuela",40.4037,-3.70132,"Entire home/apt",2,1,1,1,77,90,1125,13,21,0,4.76,4.86,4.76,5,4.95,4.95,4.67,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1,1
"25","1246930278279506807","within an hour",99,99,393,"Atocha","Arganzuela",40.39955,-3.67772,"Entire home/apt",6,2,2,4,166,1,1125,18,11,66,4.45,4.82,4.73,4.27,4.36,4.64,4.45,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1
"26","1246931789908133465","within an hour",99,99,393,"Atocha","Arganzuela",40.3974198266597,-3.67708359794159,"Entire home/apt",4,1,1,2,489,1,1125,8,2,12,5,5,5,5,4,5,5,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1
"27","1198308642988404537","within an hour",100,100,49,"Atocha","Arganzuela",40.4067899170443,-3.69156995659939,"Entire home/apt",9,2,5,5,292,3,365,10,30,162,4.5,4.63,4.57,4.43,4.33,4.87,4.6,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1
"28","941247161938858172","within an hour",100,100,3,"Delicias","Arganzuela",40.3951641712684,-3.69402289353018,"Entire home/apt",4,1,0,2,120,1,365,25,26,30,4.77,4.81,4.81,4.88,4.81,4.77,4.46,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1
"29","36255061","within an hour",100,100,1,"Imperial","Arganzuela",40.40555,-3.71228,"Entire home/apt",7,2,3,6,118,30,1125,52,79,180,4.67,4.77,4.67,4.81,4.87,4.87,4.56,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,1
"30","1192688518562438854","within an hour",96,98,9,"Acacias","Arganzuela",40.40175,-3.70436,"Entire home/apt",4,1,1,2,145,1,365,36,3,12,4.67,5,5,4.33,5,5,4.67,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1
"31","1136885133260575470","within an hour",100,100,95,"Palos de Moguer","Arganzuela",40.4024783731553,-3.69219301878897,"Entire home/apt",4,1,2,2,128,3,365,19,83,255,4.43,4.48,4.59,4.66,4.82,4.51,4.37,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1
"32","1270875670400439838","within an hour",100,99,1,"Acacias","Arganzuela",40.4035933599,-3.70645176295167,"Entire home/apt",2,1,1,1,99,2,365,19,55,255,4.85,4.84,4.91,4.78,4.98,4.64,4.8,1,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,1,1,1
"33","10017799","within a day",100,29,2,"Delicias","Arganzuela",40.39527,-3.68228,"Private room",1,1,1,0,69,1,5,60,12,6,5,5,4.92,4.92,5,4.67,4.75,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
"34","817968272962040270","within a day",65,12,55,"Acacias","Arganzuela",40.4048260636014,-3.7037154567046,"Private room",5,2,3,5,121,10,730,53,8,40,4.75,4.63,4.5,4.88,4.88,4.75,4.63,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1
"35","31666033","within an hour",100,96,34,"Delicias","Arganzuela",40.39966,-3.69491,"Entire home/apt",6,1.5,2,4,183,1,1125,31,15,72,4.87,4.93,4.8,4.93,5,5,4.6,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,1,1
"36","551964301757430126","within an hour",100,100,95,"Delicias","Arganzuela",40.40055,-3.69326,"Entire home/apt",2,1,1,1,106,3,363,17,63,255,4.51,4.61,4.6,4.76,4.89,4.63,4.45,0,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1
"37","43633177","within an hour",100,80,7,"Delicias","Arganzuela",40.39919,-3.69313,"Entire home/apt",2,1,2,3,136,45,365,0,2,0,5,5,5,5,5,5,4,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1
"38","549120930001607592","within an hour",100,100,95,"Palos de Moguer","Arganzuela",40.40096,-3.69147,"Entire home/apt",6,2,3,3,196,3,363,16,58,192,4.6,4.71,4.5,4.79,4.84,4.72,4.52,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1
"39","785548260498956030","within an hour",68,56,234,"Palos de Moguer","Arganzuela",40.4052757521451,-3.6956967458184,"Entire home/apt",3,1,2,2,80,1,365,9,40,150,4.6,4.48,4.6,4.95,4.95,4.85,4.58,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1
"40","1229390468401421896","within an hour",100,100,3,"Acacias","Arganzuela",40.4011014,-3.710791,"Private room",2,1,1,1,34,2,30,21,33,198,4.79,4.73,4.64,4.85,4.79,4.82,4.76,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1
"41","21946532","within an hour",100,93,1,"Palos de Moguer","Arganzuela",40.406715,-3.693803,"Entire home/apt",4,1,2,2,133,3,20,6,328,255,4.85,4.84,4.95,4.89,4.91,4.91,4.74,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,1
"42","1246929435300736181","within an hour",99,99,393,"Atocha","Arganzuela",40.3992324376052,-3.67720413706344,"Entire home/apt",4,1,0,2,97,1,1125,6,2,12,3.5,3.5,4.5,3.5,4,3.5,2,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1
"43","1213586668482316935","within an hour",100,97,17,"Acacias","Arganzuela",40.4054483751848,-3.71162701486103,"Entire home/apt",2,1,1,1,90,28,90,46,27,255,4.63,4.74,4.59,4.93,4.89,4.78,4.48,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1
"44","35101578","within a few hours",100,0,4,"Imperial","Arganzuela",40.41243,-3.7202,"Private room",2,1,1,1,100,2,1125,57,14,0,4.36,4.29,4,4.64,4.5,4.71,3.86,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
"45","39550273","within an hour",100,100,8,"Palos de Moguer","Arganzuela",40.40474,-3.69585,"Private room",2,1,1,1,166,1,1125,55,206,102,4.68,4.76,4.85,4.87,4.65,4.82,4.63,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
"46","795692559950213624","within an hour",91,100,5,"Imperial","Arganzuela",40.4136567,-3.7176425772461,"Entire home/apt",2,1,1,2,97,1,365,30,156,255,4.8,4.88,4.84,4.86,4.95,4.78,4.76,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1
"47","744621420882676722","within an hour",100,97,3,"Palos de Moguer","Arganzuela",40.4061,-3.69715,"Entire home/apt",5,1,2,3,206,2,365,18,173,255,4.82,4.8,4.83,4.83,4.9,4.82,4.7,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1
"48","1492653841301293149","within an hour",99,100,54,"Palos de Moguer","Arganzuela",40.4010129584778,-3.69483208993529,"Private room",2,2,1,1,47,4,365,42,1,8,5,5,5,5,5,5,5,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1
"49","16025206","within an hour",100,100,6,"Chopera","Arganzuela",40.39719,-3.69882,"Entire home/apt",5,1,1,2,130,3,31,46,23,0,4.17,4.57,4.74,4.57,4.61,4.57,4.48,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1
"50","1070369810407564699","within an hour",99,99,13,"Palos de Moguer","Arganzuela",40.4046025,-3.6946158,"Private room",2,1,1,1,124,1,365,34,27,132,4.67,4.59,4.74,4.96,4.85,4.81,4.37,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
"51","25437138","within an hour",100,100,3,"Palos de Moguer","Arganzuela",40.40474,-3.69061,"Entire home/apt",6,2,2,6,193,1,400,5,465,255,4.81,4.83,4.77,4.92,4.96,4.82,4.75,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1
"52","1234046256433705352","within an hour",100,57,1,"Casco Histórico de Barajas","Barajas",40.4707584,-3.578571,"Private room",2,1,1,1,44,1,3,0,180,255,4.97,4.96,4.99,4.95,4.97,4.96,4.92,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"53","38836201","within an hour",100,100,3,"Casco Histórico de Barajas","Barajas",40.47614,-3.57825,"Entire home/apt",4,1,1,2,115,1,1125,11,701,255,4.81,4.85,4.77,4.89,4.97,4.83,4.75,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"54","21455170","within an hour",100,100,3,"Casco Histórico de Barajas","Barajas",40.47518,-3.58224,"Private room",2,1.5,1,1,67,1,1125,47,843,255,4.74,4.81,4.68,4.88,4.91,4.91,4.69,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0
"55","1343354642671327841","within an hour",100,100,6,"Casco Histórico de Barajas","Barajas",40.47439,-3.57624,"Entire home/apt",4,1,2,2,161,1,365,14,2,12,5,4,5,5,4,5,4.5,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1
"56","1408147134734200408","within an hour",100,91,2,"Casco Histórico de Barajas","Barajas",40.4716252748219,-3.57816583230671,"Entire home/apt",4,2,2,2,135,2,365,33,5,30,4.2,4.4,4,4.4,4.4,4,3.8,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
"57","1421208063109541822","within an hour",100,97,2,"Casco Histórico de Barajas","Barajas",40.476061,-3.580531,"Entire home/apt",4,1,1,2,94,1,1125,0,24,144,4.96,4.92,4.92,5,4.96,4.88,4.75,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,1
"58","32176448","within an hour",92,100,15,"Vista Alegre","Carabanchel",40.39053,-3.73665,"Entire home/apt",4,1,1,2,101,4,1125,36,55,32,4.6,4.78,4.78,4.89,4.85,4.45,4.62,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
"59","735415947394885507","within an hour",100,92,4,"Comillas","Carabanchel",40.3918,-3.70941,"Entire home/apt",6,1,2,5,109,3,90,18,77,144,4.84,4.83,4.78,4.88,4.91,4.68,4.61,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1
"60","865801198959660289","within an hour",100,97,2,"San Isidro","Carabanchel",40.3973806761465,-3.7188271433115,"Private room",2,1.5,1,0,50,2,1125,35,40,168,4.58,4.5,4.35,4.78,4.93,4.55,4.5,1,1,0,1,1,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1
"61","1233276882320717082","within a few hours",100,87,2,"San Isidro","Carabanchel",40.397205992835,-3.73292697077378,"Entire home/apt",4,1,1,1,85,15,365,45,5,150,4.2,4,4.2,4,4.6,4.2,4.2,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1
"62","28794472","within an hour",100,100,2,"Comillas","Carabanchel",40.39216,-3.7081,"Private room",2,1,1,1,55,5,365,27,88,200,4.85,4.9,4.89,4.92,4.98,4.72,4.8,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,1
"63","1451464376996965956","within an hour",100,90,4,"Buenavista","Carabanchel",40.37137,-3.74669,"Entire home/apt",3,1,1,2,108,1,365,45,1,6,5,5,5,5,5,5,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
"64","19359353","within an hour",100,67,1,"Opañel","Carabanchel",40.39466,-3.71986,"Private room",1,1,1,2,35,2,60,1,48,48,4.83,4.9,4.85,4.96,4.96,4.58,4.77,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
"65","41532802","within a few hours",100,88,3,"Buenavista","Carabanchel",40.37369,-3.7516,"Private room",1,1,1,1,40,7,1125,0,32,56,4.97,5,5,4.94,5,4.84,4.94,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1
"66","1297938632257865782","within a few hours",100,79,1,"Abrantes","Carabanchel",40.3843838419527,-3.72131662094549,"Private room",2,1,1,1,48,1,365,18,35,210,5,5,5,5,5,4.91,4.97,1,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1
"67","1108953423555388442","a few days or more",6,1,4,"Puerta Bonita","Carabanchel",40.37583,-3.73872,"Private room",3,1,1,3,24,1,1125,25,6,6,4,4.17,4.33,4.67,4.17,3.83,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68","1016023178820080681","within an hour",100,100,10,"Opañel","Carabanchel",40.386742314994,-3.72634546441802,"Entire home/apt",5,1,2,3,84,4,365,4,140,255,4.86,4.86,4.86,4.82,4.95,4.68,4.8,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1
"69","49108309","within an hour",100,100,5,"San Isidro","Carabanchel",40.39101,-3.73534,"Entire home/apt",4,1,2,3,90,3,1125,17,29,66,4.66,4.66,4.66,4.69,4.72,4.48,4.31,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1
"70","1054370579838234607","within an hour",100,39,2,"Opañel","Carabanchel",40.38859,-3.72096,"Private room",2,1,1,0,26,1,365,40,3,18,5,5,5,5,5,5,4.67,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"71","1328850935016881565","within an hour",100,99,25,"Opañel","Carabanchel",40.38959,-3.72576,"Entire home/apt",7,2,4,4,198,1,1125,60,2,12,2.5,2.5,3.5,2.5,2.5,3.5,2.5,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1
"72","1042011832164787104","within an hour",77,89,25,"San Isidro","Carabanchel",40.39328,-3.7366,"Entire home/apt",5,1,1,3,76,5,1125,44,24,160,3.88,3.79,3.54,4.25,4.42,3.79,3.71,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
"73","546185187044720716","within a day",88,25,43,"Opañel","Carabanchel",40.39153,-3.71581,"Entire home/apt",4,1,3,3,196,7,365,0,1,0,5,5,5,5,5,5,5,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1
"74","54032404","within an hour",99,99,393,"Comillas","Carabanchel",40.3949,-3.7109,"Entire home/apt",6,2,2,4,173,1,1125,22,72,132,4.74,4.85,4.76,4.68,4.68,4.68,4.69,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1
